Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,G+A,CrdR,PrgC,SoT%,KP,Touches
367,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,16.0,2007.0,24,11,1151,0,1,1,0,11,33.3,5,703
368,Badredine Bouanani,dz ALG,"MF,FW",Nice,fr Ligue 1,19.0,2004.0,26,11,1099,3,3,6,0,47,46.7,20,571
369,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,fr Ligue 1,22.0,2001.0,25,20,1772,1,0,1,0,48,18.8,16,1233
370,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,24.0,1999.0,29,27,2435,2,3,5,0,54,46.2,22,1467
371,Carlo Boukhalfa,ma MAR,MF,St. Pauli,de Bundesliga,25.0,1999.0,25,19,1646,2,0,2,0,10,19.0,11,651
372,Justin Bourgault,fr FRA,DF,Brest,fr Ligue 1,18.0,2005.0,2,2,122,1,0,1,0,2,50.0,1,83
373,Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,30.0,1994.0,1,1,80,1,0,1,0,0,50.0,0,57
374,Edoardo Bove,it ITA,"MF,FW",Fiorentina,it Serie A,22.0,2002.0,11,10,836,1,2,3,0,12,28.6,11,437
375,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,27.0,1996.0,34,34,2973,13,8,21,0,109,41.9,51,1252
376,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,22.0,2001.0,34,33,2987,2,0,2,0,16,25.0,4,1723
377,Enzo Boyomo,cm CMR,DF,Valladolid,es La Liga,22.0,2001.0,3,3,270,0,0,0,0,1,0.0,0,215
378,Domagoj Bradarić,hr CRO,DF,Hellas Verona,it Serie A,24.0,1999.0,28,24,1933,1,0,1,0,30,44.4,25,988
379,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,21.0,2003.0,19,7,754,0,2,2,0,35,30.0,7,663
380,Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,24.0,2000.0,2,1,76,0,0,0,0,3,100.0,1,49
381,Julian Brandt,de GER,MF,Dortmund,de Bundesliga,28.0,1996.0,30,28,2303,5,10,15,0,61,33.3,61,1455
382,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,22.0,2002.0,30,28,2511,0,1,1,0,10,30.0,3,1520
383,Darko Brašanac,rs SRB,MF,Leganés,es La Liga,32.0,1992.0,30,15,1617,1,2,3,0,6,25.0,9,672
384,Lilian Brassier,fr FRA,DF,Marseille,fr Ligue 1,24.0,1999.0,12,9,779,0,0,0,0,11,20.0,1,732
385,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,24.0,1999.0,14,14,1234,1,1,2,0,21,7.1,6,1058
386,Matthias Braunöder,at AUT,MF,Como,it Serie A,22.0,2002.0,8,3,268,0,0,0,1,2,0.0,0,175
387,Iker Bravo,es ESP,"FW,MF",Udinese,it Serie A,19.0,2005.0,29,4,682,2,1,3,0,7,23.1,7,294
388,James Bree,eng ENG,DF,Southampton,eng Premier League,26.0,1997.0,17,13,1075,0,1,1,0,13,25.0,10,694
389,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,22.0,2002.0,2,2,120,0,1,1,0,1,0.0,1,75
390,Gleison Bremer,br BRA,DF,Juventus,it Serie A,27.0,1997.0,6,6,540,0,0,0,0,2,0.0,0,569
391,Brenner,br BRA,"MF,FW",Udinese,it Serie A,24.0,2000.0,9,5,386,1,2,3,0,5,57.1,5,151
392,Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25.0,1999.0,10,4,449,0,0,0,0,12,9.1,3,206
393,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,24.0,2000.0,29,9,991,4,2,6,0,46,40.0,7,547
394,Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,23.0,2000.0,13,2,350,2,0,2,0,5,20.0,4,140
395,Anthony Briançon,fr FRA,DF,Saint-Étienne,fr Ligue 1,29.0,1994.0,1,0,1,0,0,0,0,0,29.907323340471095,0,0
396,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,eng Premier League,26.0,1998.0,18,7,702,2,0,2,0,20,61.5,7,317
397,Armando Broja,al ALB,FW,Everton,eng Premier League,22.0,2001.0,10,4,334,0,0,0,0,12,0.0,4,127
398,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,27.0,1997.0,29,9,960,2,0,2,0,35,48.0,20,545
399,Arvid Brorsson,se SWE,DF,Monza,it Serie A,25.0,1999.0,6,3,362,0,0,0,0,1,29.907323340471095,0,303
400,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,23.0,2000.0,33,15,1390,1,3,4,0,37,28.9,13,552
401,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21.0,2003.0,26,22,1947,3,6,9,0,45,38.5,39,1174
402,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,25.0,1998.0,12,3,400,2,2,4,0,16,42.9,8,226
403,Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,de Bundesliga,25.0,1998.0,15,3,414,1,0,1,0,19,50.0,11,215
404,Tajon Buchanan,ca CAN,"DF,FW",Inter,it Serie A,25.0,1999.0,6,0,95,0,0,0,0,6,29.907323340471095,1,64
